date,commit,branch,test,mean_ms,min_ms,max_ms,stddev_ms,median_ms,rounds
2026-04-29 13:05:44,4e48f4e,main,test_svg_small,0.852,0.709,5.028,0.211,0.782,1015
2026-04-29 13:05:44,4e48f4e,main,test_svg_medium,1.551,1.388,2.38,0.193,1.475,494
2026-04-29 13:05:44,4e48f4e,main,test_svg_medium_with_spokes,1.601,1.431,3.686,0.23,1.505,624
2026-04-29 13:05:44,4e48f4e,main,test_dxf_small,7.956,6.703,10.372,0.815,7.783,100
2026-04-29 13:05:44,4e48f4e,main,test_dxf_medium,13.426,11.262,45.715,3.948,12.755,75
2026-04-29 13:05:44,4e48f4e,main,test_dxf_medium_with_spokes,15.009,12.35,52.23,5.907,13.749,75
2026-04-29 13:05:44,4e48f4e,main,test_stl_small,18.938,18.097,20.154,1.078,18.564,3
2026-04-29 13:05:44,4e48f4e,main,test_stl_medium,28.825,27.897,29.739,0.921,28.84,3
2026-04-29 13:05:44,4e48f4e,main,test_stl_large,56.543,54.246,59.88,2.957,55.504,3
2026-04-29 13:05:44,4e48f4e,main,test_stl_medium_with_hub,82.411,81.657,83.627,1.063,81.95,3
2026-04-29 13:05:44,4e48f4e,main,test_stl_medium_with_spokes,177.021,171.81,181.807,5.012,177.446,3
2026-04-29 13:05:44,4e48f4e,main,test_stl_medium_hub_and_spokes,299.532,290.413,315.356,13.757,292.827,3
2026-04-29 13:05:44,4e48f4e,main,test_preview_small,11.885,11.339,12.274,0.487,12.042,3
2026-04-29 13:05:44,4e48f4e,main,test_preview_medium,19.95,19.441,20.751,0.702,19.657,3
2026-04-29 13:05:44,4e48f4e,main,test_preview_medium_with_spokes,143.552,140.319,146.527,3.112,143.809,3
2026-04-29 13:05:44,4e48f4e,main,test_flange_3dprint_top,1.851,1.429,2.665,0.705,1.459,3
2026-04-29 13:05:44,4e48f4e,main,test_flange_3dprint_bottom,1.546,1.525,1.567,0.021,1.545,3
2026-04-29 13:05:44,4e48f4e,main,test_flange_3dprint_with_spokes,1.551,1.357,1.891,0.296,1.404,3
2026-04-29 13:05:44,4e48f4e,main,test_flange_metal_top,8.564,8.287,8.974,0.363,8.43,3
2026-04-29 13:05:44,4e48f4e,main,test_flange_metal_bottom,7.96,7.7,8.212,0.256,7.97,3
2026-04-29 13:25:37,94a7cd2,main,test_svg_small,0.822,0.719,1.373,0.126,0.764,1005
2026-04-29 13:25:37,94a7cd2,main,test_svg_medium,1.58,1.405,6.728,0.328,1.473,541
2026-04-29 13:25:37,94a7cd2,main,test_svg_medium_with_spokes,1.666,1.451,2.998,0.224,1.573,626
2026-04-29 13:25:37,94a7cd2,main,test_dxf_small,8.099,6.745,11.118,0.89,7.97,109
2026-04-29 13:25:37,94a7cd2,main,test_dxf_medium,14.147,11.372,50.731,5.925,13.051,77
2026-04-29 13:25:37,94a7cd2,main,test_dxf_medium_with_spokes,14.516,12.095,48.437,4.203,13.747,77
2026-04-29 13:25:37,94a7cd2,main,test_stl_small,18.997,17.731,20.331,1.301,18.93,3
2026-04-29 13:25:37,94a7cd2,main,test_stl_medium,30.264,28.909,31.475,1.289,30.408,3
2026-04-29 13:25:37,94a7cd2,main,test_stl_large,66.172,54.489,89.107,19.863,54.921,3
2026-04-29 13:25:37,94a7cd2,main,test_stl_medium_with_hub,84.858,83.913,85.578,0.855,85.082,3
2026-04-29 13:25:37,94a7cd2,main,test_stl_medium_with_spokes,181.748,177.634,189.966,7.117,177.643,3
2026-04-29 13:25:37,94a7cd2,main,test_stl_medium_hub_and_spokes,299.539,289.814,309.627,9.911,299.177,3
2026-04-29 13:25:37,94a7cd2,main,test_preview_small,12.301,11.964,12.708,0.377,12.23,3
2026-04-29 13:25:37,94a7cd2,main,test_preview_medium,21.287,20.408,22.028,0.819,21.425,3
2026-04-29 13:25:37,94a7cd2,main,test_preview_medium_with_spokes,143.702,140.936,146.786,2.938,143.386,3
2026-04-29 13:25:37,94a7cd2,main,test_flange_3dprint_top,1.653,1.434,1.785,0.191,1.741,3
2026-04-29 13:25:37,94a7cd2,main,test_flange_3dprint_bottom,1.591,1.508,1.644,0.073,1.62,3
2026-04-29 13:25:37,94a7cd2,main,test_flange_3dprint_with_spokes,1.349,1.336,1.355,0.011,1.355,3
2026-04-29 13:25:37,94a7cd2,main,test_flange_metal_top,19.852,10.44,38.243,15.929,10.871,3
2026-04-29 13:25:37,94a7cd2,main,test_flange_metal_bottom,6.957,6.794,7.055,0.142,7.022,3
